구별,소계,최근증가율,인구수,한국인,외국인,고령자,외국인비율,고령자비율,cctv비율,오차
강남구,2780,123.6842105263158,570500.0,565550.0,4950.0,63167.0,0.8676599474145487,11.07221735319895,0.48729184925503943,1388.0553551306023
강동구,773,107.9155672823219,453233.0,449019.0,4214.0,54622.0,0.9297646023127177,12.051637899270354,0.17055245315323464,465.422892345473
강북구,748,107.31707317073172,330192.0,326686.0,3506.0,54813.0,1.0618064641178466,16.600341619421428,0.22653486456364783,329.34202601226593
강서구,884,161.340206185567,603772.0,597248.0,6524.0,72548.0,1.080540336418383,12.015794041459358,0.14641288433382138,551.5031545095867
관악구,1496,122.93144208037825,525515.0,507203.0,18312.0,68082.0,3.4845817911953034,12.955291475980705,0.2846731301675499,162.94810447431155
광진구,707,32.11169284467714,372164.0,357211.0,14953.0,42214.0,4.017852344665255,11.34284885158156,0.18997001321997828,425.2902637682771
구로구,1561,58.23117338003503,447874.0,416487.0,31387.0,56833.0,7.007997785091343,12.68950642368166,0.3485355256165797,329.5929183410433
금천구,1015,87.3887240356083,255082.0,236353.0,18729.0,32970.0,7.342344814608635,12.925255408064857,0.39791125990857845,35.98929338766743
노원구,1265,176.93726937269372,569384.0,565565.0,3819.0,71941.0,0.6707248535259157,12.634882609978504,0.22216992398802915,125.48361767660936
도봉구,485,102.10084033613444,348646.0,346629.0,2017.0,51312.0,0.5785237748317777,14.717507156255916,0.13910958393327327,616.5013412593216
동대문구,1294,39.15887850467289,369496.0,354079.0,15417.0,54173.0,4.172440297053283,14.661322450040053,0.3502067681382207,165.20258618724188
동작구,1091,100.5514705882353,412520.0,400456.0,12064.0,56013.0,2.9244642683991082,13.578250751478716,0.2644720255987588,94.12289225587801
마포구,574,145.22292993630572,389649.0,378566.0,11083.0,48765.0,2.844354791106868,12.515109752623516,0.14731206804072383,581.1809989527776
서대문구,962,22.03791469194313,327163.0,314982.0,12181.0,48161.0,3.7232205353294843,14.720796667104777,0.2940430305382944,111.37656779814779
서초구,1930,58.961593172119485,450310.0,445994.0,4316.0,51733.0,0.9584508449734627,11.488308054451378,0.4285936354955475,695.4037944686129
성동구,1062,78.4931506849315,311244.0,303380.0,7864.0,39997.0,2.5266350515993885,12.850689491203044,0.3412113968462043,9.464016325504645
성북구,1464,79.08820614469772,461260.0,449773.0,11487.0,64692.0,2.4903525126826516,14.025061787278325,0.3173914928673633,215.06844701249156
송파구,618,29.678638941398866,667483.0,660584.0,6899.0,72506.0,1.0335843759316716,10.862598747833278,0.09258662767441268,900.9113117494901
양천구,2034,10.960390667390124,479978.0,475949.0,4029.0,52975.0,0.8394134731175179,11.036964194192233,0.42376942276521007,760.5635124295072
영등포구,904,122.02020202020203,402985.0,368072.0,34913.0,52413.0,8.663597900666279,13.006191297442832,0.22432596746777173,268.6400120737669
용산구,1624,32.30994152046784,244203.0,229456.0,14747.0,36231.0,6.038828351822049,14.836427070920505,0.6650204952437112,659.2316901890504
은평구,1873,68.54130052724078,494388.0,489943.0,4445.0,72334.0,0.899091401894868,14.631018552230232,0.3788522375138555,580.6984570100822
종로구,1002,158.6206896551724,162820.0,153589.0,9231.0,25425.0,5.669450927404496,15.61540351308193,0.615403513081931,143.77539630973706
중구,671,80.87167070217917,133240.0,124312.0,8928.0,20764.0,6.700690483338337,15.583908736115282,0.5036025217652357,148.49952809646675
중랑구,660,93.32023575638507,414503.0,409882.0,4621.0,56774.0,1.114829084469835,13.696885185390698,0.15922683309891605,527.7189647677947
